"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"David Cameron","PM statement on the Iraq Inquiry: 6 July 2016","6 July 2016","https://www.gov.uk/government/speeches/pm-statement-on-the-iraq-inquiry-6-july-2016"
"David Cameron","Prime Minister's statement on Paris attacks and G20 Summit","17 November 2015","https://www.gov.uk/government/speeches/prime-ministers-statement-on-paris-attacks-and-g20-summit"
"David Cameron","PM statement on National Security Strategy and Strategic Defence and Security Review 2015","23 November 2015","https://www.gov.uk/government/speeches/pm-statement-on-national-security-strategy-and-strategic-defence-and-security-review-2015"
"David Cameron","Singapore: PM press conference","29 July 2015","https://www.gov.uk/government/speeches/singapore-pm-press-conference"
"David Cameron","PM statement on the Iraq Inquiry: 6 July 2016","6 July 2016","https://www.gov.uk/government/speeches/pm-statement-on-the-iraq-inquiry-6-july-2016"
"David Cameron","PM statement: United States air strike in Syria","13 November 2015","https://www.gov.uk/government/speeches/pm-statement-united-states-air-strike-in-syria"
"David Cameron","Prime Minister's statement on Paris attacks and G20 Summit","17 November 2015","https://www.gov.uk/government/speeches/prime-ministers-statement-on-paris-attacks-and-g20-summit"
"David Cameron","PM statement on talks in Romania, 9 December 2015","9 December 2015","https://www.gov.uk/government/speeches/pm-statement-on-talks-in-romania-9-december-2015"
"David Cameron","David Cameron’s speech to the Knesset in Israel","12 March 2014","https://www.gov.uk/government/speeches/david-camerons-speech-to-the-knesset-in-israel"
"David Cameron","Australian Parliament: David Cameron's speech","14 November 2014","https://www.gov.uk/government/speeches/australian-parliament-david-camerons-speech"
"David Cameron","David Cameron's Holocaust Commission speech","27 January 2014","https://www.gov.uk/government/speeches/david-camerons-holocaust-commission-speech"
"David Cameron","PM's speech to the Jamaican Parliament","30 September 2015","https://www.gov.uk/government/speeches/pms-speech-to-the-jamaican-parliament"
"David Cameron","Prime Minister's speech on life chances","11 January 2016","https://www.gov.uk/government/speeches/prime-ministers-speech-on-life-chances"
"David Cameron","Prime Minister statement in Lebanon","14 September 2015","https://www.gov.uk/government/speeches/prime-minister-statement-in-lebanon"
"David Cameron","PM statement in Poland: 10 December 2015","10 December 2015","https://www.gov.uk/government/speeches/pm-statement-in-poland-10-december-2015"
"David Cameron","Prime Minister on ISIL at UN General Assembly","29 September 2015","https://www.gov.uk/government/speeches/prime-minister-on-isil-at-un-general-assembly"
"David Cameron","PM statement: United States air strike in Syria","13 November 2015","https://www.gov.uk/government/speeches/pm-statement-united-states-air-strike-in-syria"
"David Cameron","European Council meeting 28 June 2016: PM press conference","28 June 2016","https://www.gov.uk/government/speeches/european-council-meeting-28-june-2016-pm-press-conference--2"
"David Cameron","David Cameron's European Council statement","26 November 2012","https://www.gov.uk/government/speeches/david-camerons-european-council-statement"
"David Cameron","PM speech on EU reform: 2 February 2016","2 February 2016","https://www.gov.uk/government/speeches/pm-speech-on-eu-reform-2-february-2016"
"David Cameron","NATO Summit, Warsaw: PM's press conference – 9 July 2016","9 July 2016","https://www.gov.uk/government/speeches/nato-summit-warsaw-pms-press-conference-9-july-2016"
"David Cameron","PM speech in the Czech Republic, 22 January 2016","22 January 2016","https://www.gov.uk/government/speeches/pm-speech-in-the-czech-republic-22-january-2016"
"David Cameron","Written Ministerial Statement - Ministers: overseas travel, hospitality, gifts and Official external meetings","28 October 2010","https://www.gov.uk/government/speeches/written-ministerial-statement-ministers-overseas-travel-hospitality-gifts-and-official-external-meetings"
"David Cameron","David Cameron's European Council statement","26 November 2012","https://www.gov.uk/government/speeches/david-camerons-european-council-statement"
"David Cameron","PM speech on EU reform: 2 February 2016","2 February 2016","https://www.gov.uk/government/speeches/pm-speech-on-eu-reform-2-february-2016"
"David Cameron","Written Ministerial Statement - Ministers: overseas travel, hospitality, gifts and Official external meetings","28 October 2010","https://www.gov.uk/government/speeches/written-ministerial-statement-ministers-overseas-travel-hospitality-gifts-and-official-external-meetings"
"David Cameron","PM statement in Hungary, 7 January 2016","7 January 2016","https://www.gov.uk/government/speeches/pm-statement-in-hungary-7-january-2016"
"David Cameron","PM and Prime Minister Letta press conference","17 July 2013","https://www.gov.uk/government/speeches/pm-and-prime-minister-letta-press-conference"
"David Cameron","PM statement on new Chief of the Defence Staff General Houghton","19 March 2013","https://www.gov.uk/government/speeches/pm-statement-on-new-chief-of-the-defence-staff-general-houghton"
"David Cameron","EU Council: PM press conference","18 December 2015","https://www.gov.uk/government/speeches/eu-council-pm-press-conference"
"David Cameron","PM speech at UK-China Business Summit","22 October 2015","https://www.gov.uk/government/speeches/pm-speech-at-uk-china-business-summit"
"David Cameron","PM Speech: This is a government that delivers","7 December 2015","https://www.gov.uk/government/speeches/pm-speech-this-is-a-government-that-delivers"
"David Cameron","Free schools announcement: David Cameron's speech","9 March 2015","https://www.gov.uk/government/speeches/free-schools-announcement-david-camerons-speech"
"David Cameron","David Cameron’s statement on the UK storms and flooding","11 February 2014","https://www.gov.uk/government/speeches/david-camerons-statement-on-the-uk-storms-and-flooding"
"David Cameron","PM on plans for a seven-day NHS","18 May 2015","https://www.gov.uk/government/speeches/pm-on-plans-for-a-seven-day-nhs"
"David Cameron","The importance of Scotland to the UK: David Cameron’s speech","7 February 2014","https://www.gov.uk/government/speeches/the-importance-of-scotland-to-the-uk-david-camerons-speech"
"David Cameron","Flood volunteers reception: David Cameron’s speech","7 April 2014","https://www.gov.uk/government/speeches/flood-volunteers-reception-david-camerons-speech"
"David Cameron","International Festival for Business: David Cameron’s speech","9 June 2014","https://www.gov.uk/government/speeches/international-festival-for-business-david-camerons-speech"
